Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC,,,,,,,,,,,,,,,,,
State_id  ,YEAR  ,mean,willow,crosby,pembina,hettinger,ft yates,towns,fargo,YEAR  ,,,,,,,
'329445',1903,37.8,34.3,35.4,34.4,40.5,41.4,39.5,39.1,1903,-0.600354191,-0.858205431,0.125265643,0.459149941,0.715348288,0.517827627,-0.359031877
'329445',1904,37.58571429,33.5,35.1,33.6,40,40.7,39.3,40.9,1904,-1.186068477,-0.943919717,-0.460448642,0.173435655,0.229634002,0.532113341,1.655253837
'329445',1905,39.11428571,35.9,37.6,35.3,41.2,41.8,40.1,41.9,1905,-0.314639906,0.027508855,-0.289020071,-0.155135773,-0.198937426,-0.196458087,1.126682409
'329445',1906,39.5,36.5,37.8,35.9,41.9,42.3,40.5,41.6,1906,-0.100354191,-0.158205431,-0.074734357,0.159149941,-0.084651712,-0.182172373,0.440968123
'329445',1907,36.87142857,33.7,33.7,32.2,40.1,41,38.4,39,1907,-0.271782763,-1.629634002,-1.146162928,0.98772137,1.243919717,0.346399055,0.469539551
'329445',1908,40.67142857,37.2,38.4,38,42,43.8,42.5,42.8,1908,-0.571782763,-0.729634002,0.853837072,-0.91227863,0.243919717,0.646399055,0.469539551
'329445',1909,38.12857143,34.5,36.3,34.8,40.1,40.5,38.9,41.8,1909,-0.72892562,-0.28677686,0.196694215,-0.269421488,-0.51322314,-0.410743802,2.012396694
'329445',1910,41.01428571,37.9,39,37.9,43.1,43.3,42.4,43.5,1910,-0.214639906,-0.472491145,0.410979929,-0.155135773,-0.598937426,0.203541913,0.826682409
'329445',1911,38.18571429,34,35.1,34.1,41.1,41.3,39.9,41.8,1911,-1.286068477,-1.543919717,-0.560448642,0.673435655,0.229634002,0.532113341,1.955253837
'329445',1912,38.1,35.2,35.9,34.8,39.8,41,39.2,40.8,1912,-0.000354191,-0.658205431,0.225265643,-0.540850059,0.015348288,-0.082172373,1.040968123
'329445',1913,39.52857143,36.4,37.1,34.9,42.1,43,41,42.2,1913,-0.22892562,-0.88677686,-1.103305785,0.330578512,0.58677686,0.289256198,1.012396694
'329445',1914,39.65714286,35.7,38.4,34.5,41.6,43.2,41.9,42.3,1914,-1.057497048,0.284651712,-1.631877214,-0.297992916,0.658205431,1.06068477,0.983825266
'329445',1915,39.17142857,34.8,38,36.5,39.8,41.9,41.1,42.1,1915,-1.471782763,0.370365998,0.853837072,-1.61227863,-0.156080283,0.746399055,1.269539551
'329445',1916,35.75714286,32.2,33.3,31.2,37.6,39.4,38.2,38.4,1916,-0.657497048,-0.915348288,-1.031877214,-0.397992916,0.758205431,1.26068477,0.983825266
'329445',1917,35.91428571,32.9,34.6,31.1,37.9,38.9,38.3,37.7,1917,-0.114639906,0.227508855,-1.289020071,-0.255135773,0.101062574,1.203541913,0.126682409
'329445',1918,39.58571429,35.8,37.8,35.9,42.4,42.2,41,42,1918,-0.886068477,-0.243919717,-0.160448642,0.573435655,-0.270365998,0.232113341,0.755253837
'329445',1919,38.35714286,34.8,36.9,34.3,41.1,41.6,39.4,40.4,1919,-0.657497048,0.084651712,-0.531877214,0.502007084,0.358205431,-0.13931523,0.383825266
'329445',1920,39.25714286,35.3,38.2,36,41.4,42.6,40.2,41.1,1920,-1.057497048,0.484651712,0.268122786,-0.097992916,0.458205431,-0.23931523,0.183825266
'329445',1921,41.71428571,38,40.2,36.7,44.6,45.2,43.5,43.8,1921,-0.814639906,0.027508855,-1.489020071,0.644864227,0.601062574,0.603541913,0.426682409
'329445',1922,39.71428571,36.6,37.1,38,40.5,42.4,40.8,42.6,1922,-0.214639906,-1.072491145,1.810979929,-1.455135773,-0.198937426,-0.096458087,1.226682409
'329445',1923,40.04285714,36.4,38.6,35.6,42.8,42.7,41.5,42.7,1923,-0.743211334,0.098937426,-0.917591499,0.516292798,-0.227508855,0.274970484,0.99811098
'329445',1924,37.5,34.6,35.9,32.9,39,41,39.3,39.8,1924,-0.000354191,-0.058205431,-1.074734357,-0.740850059,0.615348288,0.617827627,0.640968123
'329445',1925,39.84285714,37.1,37.9,35.3,41.7,43.1,41.9,41.9,1925,0.156788666,-0.401062574,-1.017591499,-0.383707202,0.372491145,0.874970484,0.39811098
'329445',1926,40.18571429,37.1,39.1,34.4,43.5,43.8,41.8,41.6,1926,-0.186068477,0.456080283,-2.260448642,1.073435655,0.729634002,0.432113341,-0.244746163
'329445',1927,37.84285714,35.5,34.6,35,40.3,40.4,39,40.1,1927,0.556788666,-1.701062574,0.682408501,0.216292798,-0.327508855,-0.025029516,0.59811098
'329445',1928,40.9,38.2,38.8,36.8,42.9,43.9,42.3,43.4,1928,0.199645809,-0.558205431,-0.574734357,-0.240850059,0.115348288,0.217827627,0.840968123
'329445',1929,37.6,35.1,35.7,34.1,39.6,40.5,38.9,39.3,1929,0.399645809,-0.358205431,0.025265643,-0.240850059,0.015348288,0.117827627,0.040968123
'329445',1930,41.1,38.2,38.9,38.1,43,44.3,42.5,42.7,1930,-0.000354191,-0.658205431,0.525265643,-0.340850059,0.315348288,0.217827627,-0.059031877
'329445',1931,44.12857143,42.2,42.3,40.5,45.9,46.5,45.3,46.2,1931,0.97107438,-0.28677686,-0.103305785,-0.469421488,-0.51322314,-0.010743802,0.412396694
'329445',1932,39.47142857,36.7,38.4,36.1,41.1,41.5,40.8,41.7,1932,0.128217237,0.470365998,0.153837072,-0.61227863,-0.856080283,0.146399055,0.569539551
'329445',1933,40.58571429,37.2,38.9,36.1,43.4,44.2,42.9,41.4,1933,-0.486068477,-0.143919717,-0.960448642,0.573435655,0.729634002,1.132113341,-0.844746163
'329445',1934,42.71428571,39.3,41.5,37.1,45.2,46.7,45.2,44,1934,-0.514639906,0.327508855,-2.089020071,0.244864227,1.101062574,1.303541913,-0.373317591
'329445',1935,38.82857143,34.5,36.4,35.1,41.7,42.4,41.1,40.6,1935,-1.42892562,-0.88677686,-0.203305785,0.630578512,0.68677686,1.089256198,0.112396694
'329445',1936,38.32857143,34.3,36.1,33.7,41.8,41.6,40.2,40.6,1936,-1.12892562,-0.68677686,-1.103305785,1.230578512,0.38677686,0.689256198,0.612396694
'329445',1937,38.32857143,35.2,37.3,34.3,41.1,41.5,39.4,39.5,1937,-0.22892562,0.51322314,-0.503305785,0.530578512,0.28677686,-0.110743802,-0.487603306
'329445',1938,41.54285714,38.2,40.1,37.6,44.2,44.6,42.9,43.2,1938,-0.443211334,0.098937426,-0.417591499,0.416292798,0.172491145,0.174970484,-0.00188902
'329445',1939,41.58571429,37.8,40.4,37.3,44.4,44.9,43.4,42.9,1939,-0.886068477,0.356080283,-0.760448642,0.573435655,0.429634002,0.632113341,-0.344746163
'329445',1940,40.25714286,36.3,39,37.1,42.3,43.6,42.1,41.4,1940,-1.057497048,0.284651712,0.368122786,-0.197992916,0.458205431,0.66068477,-0.516174734
'329445',1941,41.75714286,38.3,40.6,37.6,44.2,45.4,43.1,43.1,1941,-0.557497048,0.384651712,-0.631877214,0.202007084,0.758205431,0.16068477,-0.316174734
'329445',1942,40.44285714,37.9,38.8,36.6,42.6,43.4,41.5,42.3,1942,0.356788666,-0.101062574,-0.317591499,-0.083707202,0.072491145,-0.125029516,0.19811098
'329445',1943,39.5,36.8,38.1,35.4,42,42.2,40.8,41.2,1943,0.199645809,0.141794569,-0.574734357,0.259149941,-0.184651712,0.117827627,0.040968123
'329445',1944,40.5,37.8,39.1,38,41.6,42.7,41.6,42.7,1944,0.199645809,0.141794569,1.025265643,-1.140850059,-0.684651712,-0.082172373,0.540968123
'329445',1945,38.68571429,35.8,36.6,35.4,41,41.3,39.8,40.9,1945,0.013931523,-0.543919717,0.239551358,0.073435655,-0.270365998,-0.067886659,0.555253837
'329445',1946,40.54285714,36.8,39,36.2,44.5,43.8,41.8,41.7,1946,-0.843211334,-0.001062574,-0.817591499,1.716292798,0.372491145,0.074970484,-0.50188902
'329445',1947,39.6,36.9,37.5,36.1,41.3,42.8,41.1,41.5,1947,0.199645809,-0.558205431,0.025265643,-0.540850059,0.315348288,0.317827627,0.240968123
'329445',1948,39.45714286,36.3,36.8,36.2,42.3,43,40.8,40.8,1948,-0.257497048,-1.115348288,0.268122786,0.602007084,0.658205431,0.16068477,-0.316174734
'329445',1949,39.34285714,36.5,37,35.9,41.5,42.6,40.3,41.6,1949,0.056788666,-0.801062574,0.082408501,-0.083707202,0.372491145,-0.225029516,0.59811098
'329445',1950,35.14285714,32.6,33.3,31.7,37.4,37.8,36.4,36.8,1950,0.356788666,-0.301062574,0.082408501,0.016292798,-0.227508855,0.074970484,-0.00188902
'329445',1951,35.87142857,33,33,33.8,38.3,38.3,36.7,38,1951,0.028217237,-1.329634002,1.453837072,0.18772137,-0.456080283,-0.353600945,0.469539551
'329445',1952,41.02857143,38.4,38.6,39.1,42.9,43.7,41.9,42.6,1952,0.27107438,-0.88677686,1.596694215,-0.369421488,-0.21322314,-0.310743802,-0.087603306
'329445',1953,42.11428571,39.3,40.3,38.7,43.9,45.2,43.5,43.9,1953,0.085360094,-0.272491145,0.110979929,-0.455135773,0.201062574,0.203541913,0.126682409
'329445',1954,40.97142857,38.1,37.9,37.6,43.5,44.5,42.7,42.5,1954,0.028217237,-1.529634002,0.153837072,0.28772137,0.643919717,0.546399055,-0.130460449
'329445',1955,38.77142857,35.1,36,35,41.6,42.8,40.4,40.5,1955,-0.771782763,-1.229634002,-0.246162928,0.58772137,1.143919717,0.446399055,0.069539551
'329445',1956,39.05714286,35.8,37.4,34.9,42.2,42.3,40.7,40.1,1956,-0.357497048,-0.115348288,-0.631877214,0.902007084,0.358205431,0.46068477,-0.616174734
'329445',1957,40.25714286,37.4,39,36.8,42.1,43.3,41.3,41.9,1957,0.042502952,0.284651712,0.068122786,-0.397992916,0.158205431,-0.13931523,-0.016174734
'329445',1958,40.65714286,37.7,39.6,37.4,42.3,43.5,41.6,42.5,1958,-0.057497048,0.484651712,0.268122786,-0.597992916,-0.041794569,-0.23931523,0.183825266
'329445',1959,39.6,36.6,38.1,35.7,41.5,42.8,40.9,41.6,1959,-0.100354191,0.041794569,-0.374734357,-0.340850059,0.315348288,0.117827627,0.340968123
'329445',1960,39.71428571,36.8,38.6,36.7,42.3,42.2,40.5,40.9,1960,-0.014639906,0.427508855,0.510979929,0.344864227,-0.398937426,-0.396458087,-0.473317591
'329445',1961,41.24285714,38.3,40.3,37.5,43.5,44.5,42.2,42.4,1961,-0.043211334,0.598937426,-0.217591499,0.016292798,0.372491145,-0.225029516,-0.50188902
'329445',1962,39.65714286,36.8,39,35.2,42.2,43,40.5,40.9,1962,0.042502952,0.884651712,-0.931877214,0.302007084,0.458205431,-0.33931523,-0.416174734
'329445',1963,41.91428571,38.9,40.3,38.5,44.3,45.1,42.8,43.5,1963,-0.114639906,-0.072491145,0.110979929,0.144864227,0.301062574,-0.296458087,-0.073317591
'329445',1964,39.74285714,36.4,38.1,36.5,41.8,43.2,40.6,41.6,1964,-0.443211334,-0.101062574,0.282408501,-0.183707202,0.572491145,-0.325029516,0.19811098
'329445',1965,37.61428571,35.2,36.1,34,39.9,40.8,38.3,39,1965,0.485360094,0.027508855,-0.089020071,0.044864227,0.301062574,-0.496458087,-0.273317591
'329445',1966,38.05714286,35.2,37.2,33.5,41.3,41.4,38.9,38.9,1966,0.042502952,0.684651712,-1.031877214,1.002007084,0.458205431,-0.33931523,-0.816174734
'329445',1967,39.28571429,36.4,38.1,35.2,41.9,42.9,40.4,40.1,1967,0.013931523,0.356080283,-0.560448642,0.373435655,0.729634002,-0.067886659,-0.844746163
'329445',1968,39.61428571,37.2,38.6,36.3,41.6,42.2,40.4,41,1968,0.485360094,0.527508855,0.210979929,-0.255135773,-0.298937426,-0.396458087,-0.273317591
'329445',1969,38.77142857,36.7,36.9,35.8,40.6,42,39.4,40,1969,0.828217237,-0.329634002,0.553837072,-0.41227863,0.343919717,-0.553600945,-0.430460449
'329445',1970,38.47142857,35.8,36.8,35,40.9,41.7,39.3,39.8,1970,0.228217237,-0.129634002,0.053837072,0.18772137,0.343919717,-0.353600945,-0.330460449
'329445',1971,39.02857143,36.9,37.9,36.1,40.6,42.1,39.1,40.5,1971,0.77107438,0.41322314,0.596694215,-0.669421488,0.18677686,-1.110743802,-0.187603306
'329445',1972,37.64285714,35.2,36.2,34.2,40,40.8,38.1,39,1972,0.456788666,0.098937426,0.082408501,0.116292798,0.272491145,-0.725029516,-0.30188902
'329445',1973,41.65714286,39.2,40.7,38.1,42.9,44.8,42.5,43.4,1973,0.442502952,0.584651712,-0.031877214,-0.997992916,0.258205431,-0.33931523,0.083825266
'329445',1974,39.72857143,36.2,38.6,35,42.8,43.9,41.3,40.3,1974,-0.62892562,0.41322314,-1.203305785,0.830578512,1.28677686,0.389256198,-1.087603306
'329445',1975,39.37142857,36.8,37.7,36.5,40.5,42.5,40.6,41,1975,0.328217237,-0.129634002,0.653837072,-1.11227863,0.243919717,0.046399055,-0.030460449
'329445',1976,41.05714286,37.7,39.9,36.8,43.8,44.9,42.2,42.1,1976,-0.457497048,0.384651712,-0.731877214,0.502007084,0.958205431,-0.03931523,-0.616174734
'329445',1977,40.97142857,38.6,40.2,38,42.5,43.8,41.9,41.8,1977,0.528217237,0.770365998,0.553837072,-0.71227863,-0.056080283,-0.253600945,-0.830460449
'329445',1978,37.92857143,35.2,37.3,35.1,39.2,40.7,38.7,39.3,1978,0.17107438,0.91322314,0.696694215,-0.969421488,-0.11322314,-0.410743802,-0.287603306
'329445',1979,37.25714286,34.3,36.7,33.6,40,40.6,37.9,37.7,1979,-0.057497048,0.984651712,-0.131877214,0.502007084,0.458205431,-0.53931523,-1.216174734
'329445',1980,41.41428571,38.5,39.8,37.9,44.7,44.7,42.1,42.2,1980,-0.014639906,-0.072491145,0.010979929,1.044864227,0.401062574,-0.496458087,-0.873317591
'329445',1981,43.3,41.1,42.4,40.4,45.6,45.8,43.7,44.1,1981,0.699645809,0.641794569,0.625265643,0.059149941,-0.384651712,-0.782172373,-0.859031877
'329445',1982,38.05714286,35.5,35.8,35.2,40.1,40.9,39.1,39.8,1982,0.342502952,-0.715348288,0.668122786,-0.197992916,-0.041794569,-0.13931523,0.083825266
'329445',1983,41.08571429,38.5,39.3,38.5,43,43.7,42.1,42.5,1983,0.313931523,-0.243919717,0.939551358,-0.326564345,-0.270365998,-0.167886659,-0.244746163
'329445',1984,41.1,39.4,40.2,37.3,43,43.6,41.9,42.3,1984,1.199645809,0.641794569,-0.274734357,-0.340850059,-0.384651712,-0.382172373,-0.459031877
'329445',1985,38.12857143,35.4,37.4,34.7,40.3,41,39,39.1,1985,0.17107438,0.81322314,0.096694215,-0.069421488,-0.01322314,-0.310743802,-0.687603306
'329445',1986,41.7,39.2,41.3,37.9,44,44.6,42.4,42.5,1986,0.399645809,1.141794569,-0.274734357,0.059149941,0.015348288,-0.482172373,-0.859031877
'329445',1987,44.97142857,43.6,44.4,41.3,46.5,47.3,45.7,46,1987,1.528217237,0.970365998,-0.146162928,-0.71227863,-0.556080283,-0.453600945,-0.630460449
'329445',1988,42.42857143,40,42.4,38.2,44.9,44.9,43.1,43.5,1988,0.47107438,1.51322314,-0.703305785,0.230578512,-0.41322314,-0.510743802,-0.587603306
'329445',1989,39.37142857,36.7,39.1,35.6,41.9,42.3,40.2,39.8,1989,0.228217237,1.270365998,-0.246162928,0.28772137,0.043919717,-0.353600945,-1.230460449
'329445',1990,42.32857143,40.1,41.5,38.9,44.5,44.6,43,43.7,1990,0.67107438,0.71322314,0.096694215,-0.069421488,-0.61322314,-0.510743802,-0.287603306
'329445',1991,42.18571429,39.8,41.7,38.8,44.4,44.4,43.1,43.1,1991,0.513931523,1.056080283,0.139551358,-0.026564345,-0.670365998,-0.267886659,-0.744746163
'329445',1992,41.1,39,41.1,37.2,43.9,43,41.9,41.6,1992,0.799645809,1.541794569,-0.374734357,0.559149941,-0.984651712,-0.382172373,-1.159031877
'329445',1993,38.2,35.9,38.1,35.8,39.7,40.5,38.5,38.9,1993,0.599645809,1.441794569,1.125265643,-0.740850059,-0.584651712,-0.882172373,-0.959031877
'329445',1994,39.88571429,37.6,39.1,37.6,42.2,41.4,40.5,40.8,1994,0.613931523,0.756080283,1.239551358,0.073435655,-1.370365998,-0.567886659,-0.744746163
'329445',1995,39.65714286,37.5,38.6,36.3,42.7,41.3,40.3,40.9,1995,0.742502952,0.484651712,0.168122786,0.802007084,-1.241794569,-0.53931523,-0.416174734
'329445',1996,36.47142857,33.6,35.3,33.5,39,38.8,37.3,37.8,1996,0.028217237,0.370365998,0.553837072,0.28772137,-0.556080283,-0.353600945,-0.330460449
'329445',1997,40.48571429,38.8,40.1,37,43.2,42.8,41.1,40.4,1997,1.213931523,1.156080283,0.039551358,0.473435655,-0.570365998,-0.567886659,-1.744746163
'329445',1998,43.15714286,40.7,41.4,41.4,45,44.8,44,44.8,1998,0.442502952,-0.215348288,1.768122786,-0.397992916,-1.241794569,-0.33931523,-0.016174734
'329445',1999,42.92857143,40.2,41.7,40.4,45.4,44.8,44,44,1999,0.17107438,0.31322314,0.996694215,0.230578512,-1.01322314,-0.110743802,-0.587603306
'329445',2000,41.08571429,39.2,39.2,38.5,43.3,43.3,42,42.1,2000,1.013931523,-0.343919717,0.939551358,-0.026564345,-0.670365998,-0.267886659,-0.644746163
'329445',2001,42.12857143,39.9,41.1,39.4,44.3,44.3,42.7,43.2,2001,0.67107438,0.51322314,0.796694215,-0.069421488,-0.71322314,-0.610743802,-0.587603306
'329445',2002,41.1,38.4,39.2,38.3,43.3,43.8,42.2,42.5,2002,0.199645809,-0.358205431,0.725265643,-0.040850059,-0.184651712,-0.082172373,-0.259031877
'329445',2003,40.92857143,37.9,39.6,38.4,43.6,43.3,41.6,42.1,2003,-0.12892562,0.21322314,0.996694215,0.430578512,-0.51322314,-0.510743802,-0.487603306
'329445',2004,40.58571429,38.1,38.8,36.8,43.5,43.6,41.8,41.5,2004,0.413931523,-0.243919717,-0.260448642,0.673435655,0.129634002,0.032113341,-0.744746163
'329445',2005,42.54285714,40.2,41.4,39.2,44.8,45.2,43.5,43.5,2005,0.556788666,0.398937426,0.182408501,0.016292798,-0.227508855,-0.225029516,-0.70188902
'329445',2006,43.68571429,41.5,42.6,40.6,45.7,46.3,44.6,44.5,2006,0.713931523,0.456080283,0.439551358,-0.226564345,-0.270365998,-0.267886659,-0.844746163
'329445',2007,41.58571429,38.7,41.2,37.8,44.9,43.9,42.4,42.2,2007,0.013931523,1.156080283,-0.260448642,1.073435655,-0.570365998,-0.367886659,-1.044746163
'329445',2008,39.05714286,36.3,38.5,35.6,41.8,41.7,40.2,39.3,2008,0.142502952,0.984651712,0.068122786,0.502007084,-0.241794569,-0.03931523,-1.416174734
'329445',2009,38.51428571,36.4,37.2,36,40.7,40.6,39.1,39.6,2009,0.785360094,0.227508855,1.010979929,-0.055135773,-0.798937426,-0.596458087,-0.573317591
'329445',2010,40.94285714,39.3,39.3,39.9,41.6,42.4,41.6,42.5,2010,1.256788666,-0.101062574,2.482408501,-1.583707202,-1.427508855,-0.525029516,-0.10188902
'329445',2011,40.71428571,38.9,40.1,38.8,41.8,42.5,41.2,41.7,2011,1.085360094,0.927508855,1.610979929,-1.155135773,-1.098937426,-0.696458087,-0.673317591
'329445',2012,44.04285714,41.1,42.7,41,46.3,46.7,45.1,45.4,2012,-0.043211334,0.198937426,0.482408501,0.016292798,-0.227508855,-0.125029516,-0.30188902
'329445',2013,38.78571429,35.7,37.7,35.2,42.2,41.6,39.6,39.5,2013,-0.186068477,0.456080283,-0.060448642,1.173435655,-0.070365998,-0.367886659,-0.944746163
'329445',2014,38.92857143,36.6,39.2,35.5,41.2,41.1,39,39.9,2014,0.57107438,1.81322314,0.096694215,0.030578512,-0.71322314,-1.110743802,-0.687603306
